1970-2016,,,,,,,
college_total_salary,tn_college,,,,,player_numbers,tn_college
985207966,University of Tennessee,,,,,151,University of Tennessee
418774736,Vanderbilt University,,,,,74,Vanderbilt University
206213478,University of Memphis,,,,,34,University of Memphis
188120500,Austin Peay State University,,,,,33,Austin Peay State University
65515000,Lincoln Memorial University,,,,,18,Motlow State Community College
46305000,Carson-Newman College,,,,,18,Middle Tennessee State University
25058499,Motlow State Community College,,,,,13,Cleveland State Community College
24210000,Lambuth University,,,,,12,Tennessee Wesleyan College
21889800,Middle Tennessee State University,,,,,9,Lincoln Memorial University
16713333,Tennessee Wesleyan College,,,,,8,Lambuth University
11410002,East Tennessee State University,,,,,7,East Tennessee State University
8706200,Cleveland State Community College,,,,,7,Columbia State Community College
8619000,Lipscomb University,,,,,5,Carson-Newman College
3125000,Southwest Tennessee Community College,,,,,4,Lipscomb University
2710000,Columbia State Community College,,,,,3,Southwest Tennessee Community College
1368000,Tennessee State University,,,,,3,Tennessee State University
676500,Union University,,,,,3,Chattanooga State Technical Community College
492200,Tennessee Technological University,,,,,2,Union University
479000,Chattanooga State Technical Community College,,,,,1,Tennessee Technological University
,,,,,,,
2006-2016,,,,,,,
college_total_salary,tn_college,,,,,player_numbers,tn_college
708245966,University of Tennessee,,,,,55,University of Tennessee
365162236,Vanderbilt University,,,,,39,Vanderbilt University
190902978,University of Memphis,,,,,28,Austin Peay State University
180950500,Austin Peay State University,,,,,11,University of Memphis
60300000,Lincoln Memorial University,,,,,9,Middle Tennessee State University
46305000,Carson-Newman College,,,,,5,Lincoln Memorial University
15303300,Middle Tennessee State University,,,,,5,Carson-Newman College
12600000,Lambuth University,,,,,4,Motlow State Community College
10550000,Motlow State Community College,,,,,4,Lipscomb University
8619000,Lipscomb University,,,,,3,Lambuth University
1340000,Cleveland State Community College,,,,,1,Tennessee Technological University
492200,Tennessee Technological University,,,,,1,Cleveland State Community College
